username,repositname,repourl,stars
mrdoob,three.js,https://github.com/mrdoob/three.js,70600
libgdx,libgdx,https://github.com/libgdx/libgdx,18400
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,14000
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,13200
aframevr,aframe,https://github.com/aframevr/aframe,12700
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,10700
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,10200
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,9300
metafizzy,zdog,https://github.com/metafizzy/zdog,8400
CesiumGS,cesium,https://github.com/CesiumGS/cesium,7000
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,6800
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,6600
spritejs,spritejs,https://github.com/spritejs/spritejs,4500
intel-isl,Open3D,https://github.com/intel-isl/Open3D,4500
tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace,4400
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4300
AaronJackson,vrn,https://github.com/AaronJackson/vrn,4300
YadiraF,PRNet,https://github.com/YadiraF/PRNet,4300
openscad,openscad,https://github.com/openscad/openscad,4000
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,3800
ssloy,tinyraytracer,https://github.com/ssloy/tinyraytracer,3800
mosra,magnum,https://github.com/mosra/magnum,3500
cleardusk,3DDFA,https://github.com/cleardusk/3DDFA,3000
gfxfundamentals,webgl-fundamentals,https://github.com/gfxfundamentals/webgl-fundamentals,3000
jasonlong,isometric-contributions,https://github.com/jasonlong/isometric-contributions,2900
google,model-viewer,https://github.com/google/model-viewer,2900
blender,blender,https://github.com/blender/blender,2600
antvis,L7,https://github.com/antvis/L7,2300
pissang,claygl,https://github.com/pissang/claygl,2200
tinyobjloader,tinyobjloader,https://github.com/tinyobjloader/tinyobjloader,2200
